Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº de Concluintes Participantes;Nº de Concluintes Participantes com nota no Enem;Proporção de Concluintes participantes com nota no Enem;Nota Bruta - IDD;IDD (Contínuo);IDD (Faixa);Observação
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);727;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DO ALTO SÃO FRANCISCO;FASF;Faculdade;Privada sem fins lucrativos;55756;Educação Presencial;3138807;Luz;MG;8;8;8;1,0000;-5,9945;0,6094;1;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);730;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;Universidade;Pública Estadual;16389;Educação Presencial;4119905;Ponta Grossa;PR;34;31;27;0,8710;-0,2067;2,4321;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);737;CENTRO UNIVERSITÁRIO SÃO CAMILO;SAO CAMILO;Centro Universitário;Privada sem fins lucrativos;16511;Educação Presencial;3550308;São Paulo;SP;13;5;4;0,8000;-2,1427;1,8224;2;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);737;CENTRO UNIVERSITÁRIO SÃO CAMILO;SAO CAMILO;Centro Universitário;Privada sem fins lucrativos;79465;Educação Presencial;3550308;São Paulo;SP;1;0;;;;;SC;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);738;CENTRO UNIVERSITÁRIO TERESA D'ÁVILA;FATEA;Centro Universitário;Privada sem fins lucrativos;52756;Educação Presencial;3527207;Lorena;SP;26;26;22;0,8462;0,2633;2,5801;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);739;CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO;SÃO CAMILO-ES;Centro Universitário;Privada sem fins lucrativos;21167;Educação Presencial;3201209;Cachoeiro de Itapemirim;ES;36;35;32;0,9143;-0,8873;2,2178;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);746;UNIVERSIDADE REGIONAL DO CARIRI;URCA;Universidade;Pública Estadual;1159666;Educação Presencial;2304202;Crato;CE;80;75;61;0,8133;0,3363;2,6031;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);746;UNIVERSIDADE REGIONAL DO CARIRI;URCA;Universidade;Pública Estadual;1327518;Educação Presencial;2308401;Missão Velha;CE;57;54;37;0,6852;-1,4338;2,0457;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);746;UNIVERSIDADE REGIONAL DO CARIRI;URCA;Universidade;Pública Estadual;1327522;Educação Presencial;2302701;Campos Sales;CE;62;58;45;0,7759;0,6132;2,6903;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);756;UNIVERSIDADE ESTADUAL DO PIAUÍ;UESPI;Universidade;Pública Estadual;19016;Educação Presencial;2210607;São Raimundo Nonato;PI;14;14;13;0,9286;0,4706;2,6454;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);756;UNIVERSIDADE ESTADUAL DO PIAUÍ;UESPI;Universidade;Pública Estadual;19091;Educação Presencial;2207702;Parnaíba;PI;14;14;13;0,9286;-0,4581;2,3529;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);756;UNIVERSIDADE ESTADUAL DO PIAUÍ;UESPI;Universidade;Pública Estadual;19142;Educação Presencial;2208007;Picos;PI;20;19;19;1,0000;-1,1619;2,1313;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);756;UNIVERSIDADE ESTADUAL DO PIAUÍ;UESPI;Universidade;Pública Estadual;19146;Educação Presencial;2203909;Floriano;PI;16;16;16;1,0000;0,1530;2,5454;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);756;UNIVERSIDADE ESTADUAL DO PIAUÍ;UESPI;Universidade;Pública Estadual;19152;Educação Presencial;2202208;Campo Maior;PI;32;31;30;0,9677;-0,7596;2,2580;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);756;UNIVERSIDADE ESTADUAL DO PIAUÍ;UESPI;Universidade;Pública Estadual;19195;Educação Presencial;2211001;Teresina;PI;31;30;27;0,9000;-0,6186;2,3024;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);756;UNIVERSIDADE ESTADUAL DO PIAUÍ;UESPI;Universidade;Pública Estadual;46320;Educação Presencial;2202901;Corrente;PI;15;13;12;0,9231;-1,4603;2,0373;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);756;UNIVERSIDADE ESTADUAL DO PIAUÍ;UESPI;Universidade;Pública Estadual;1327308;Educação Presencial;2205508;José de Freitas;PI;33;32;7;0,2188;-0,5386;2,3276;3;
